City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Madinat Sittah Uktubar,EG,2021-01-17 03:02:17,29.8167,31.05,59.0,41,0,10.36
267,Tura,IN,2021-01-17 03:02:18,25.5198,90.2201,67.21,46,73,1.48
268,Buin,CL,2021-01-17 03:02:18,-33.7333,-70.75,71.6,33,0,6.91
269,Dalbandin,PK,2021-01-17 03:02:18,28.8947,64.4101,47.01,38,0,3.69
270,Karad,IN,2021-01-17 03:02:18,17.2833,74.2,74.95,57,10,1.25
271,Itarema,BR,2021-01-17 03:02:18,-2.9248,-39.9167,77.88,85,36,10.8
272,Crixas,BR,2021-01-17 03:02:18,-14.5489,-49.9692,71.4,91,100,2.08
273,Noyabrsk,RU,2021-01-17 03:02:19,63.1994,75.4507,2.71,94,100,12.93
274,Salem,IN,2021-01-17 03:00:06,11.65,78.1667,73.4,83,20,2.48
275,Kavaratti,IN,2021-01-17 02:58:10,10.5669,72.642,81.54,76,0,7.56
276,Longyearbyen,SJ,2021-01-17 03:00:04,78.2186,15.6401,21.2,79,75,11.5
277,Thompson,CA,2021-01-17 03:02:19,55.7435,-97.8558,5.0,78,90,14.97
278,Tilichiki,RU,2021-01-17 03:02:19,60.4667,166.1,-22.43,85,0,11.14
279,Ambulu,ID,2021-01-17 03:02:19,-8.345,113.6058,84.34,63,100,3.38
280,Maniitsoq,GL,2021-01-17 03:02:19,65.4167,-52.9,21.4,92,100,24.65
281,Manzhouli,CN,2021-01-17 03:02:19,49.6,117.4333,-10.89,83,6,11.72
282,Kamenka,RU,2021-01-17 03:02:19,51.3223,42.7678,-4.25,92,97,9.24
283,Tecoanapa,MX,2021-01-17 03:02:20,16.5167,-98.75,77.22,74,43,1.21
284,Ponta Do Sol,PT,2021-01-17 03:02:20,32.6667,-17.1,54.0,67,43,1.99
285,Benguela,AO,2021-01-17 03:02:20,-12.5763,13.4055,72.32,77,93,1.59
286,Kletskaya,RU,2021-01-17 03:02:20,49.3145,43.0584,1.0,86,30,6.67
287,Beringovskiy,RU,2021-01-17 03:02:20,63.05,179.3167,-8.25,89,100,11.59
288,Salmo,CA,2021-01-17 03:02:20,49.1999,-117.2689,30.2,80,100,2.3
289,Tete,MZ,2021-01-17 03:02:20,-16.1564,33.5867,75.18,84,83,2.33
290,Cabo San Lucas,MX,2021-01-17 02:59:16,22.8909,-109.9124,68.0,60,1,5.75
291,Bafra,TR,2021-01-17 03:02:20,41.5678,35.9069,44.6,81,75,26.46
292,Kapit,MY,2021-01-17 03:02:20,2.0167,112.9333,76.66,88,99,0.83
293,Ulaangom,MN,2021-01-17 03:02:20,49.9811,92.0667,-17.9,87,93,1.79
